order_id,customer_id,restaurant_id,dish_ordered,order_time,delivery_time,order_status,price,quantity,delivery_address,delivery_partner_id,delivery_time ,expected delivery_time
1,202,93,Dal Makhani,2024-03-29 16:36:44,2024-03-29 17:45:00,Cancelled,355,2,93 Char Zila Bangalore 678819,370,69,22
2,109,292,Tandoori Chicken,2024-02-25 15:05:32,2024-02-25 17:02:00,Successful,367,4,80 Chad Path Salem 397102,317,117,24
3,201,151,Paneer Tikka,2024-02-09 22:14:24,2024-02-09 23:27:00,Cancelled,721,1,"03 Trivedi Marg, Bihar Sharif-004998",298,73,37
4,119,119,Dosa,2024-07-30 22:43:42,2024-07-31 00:06:00,Successful,693,2,307 Bassi Nagar Dewas-020122,147,83,39
5,180,94,Tandoori Chicken,2024-07-21 05:52:48,2024-07-21 06:38:00,Successful,105,2,"410, Shanker Path Deoghar-519687",280,46,30
6,232,289,Aloo Paratha,2024-01-07 11:05:17,2024-01-07 12:24:00,Successful,867,3,"42/07, Sidhu Circle Medininagar-476025",199,79,40
7,140,249,Dal Makhani,2024-06-21 19:10:27,2024-06-21 21:00:00,Successful,320,2,40/42 Bath Chowk Barasat-493002,14,110,23
8,73,122,Samosa,2024-04-10 17:21:23,2024-04-10 18:42:00,Successful,339,3,"H.No. 779, Bhattacharyya Circle Madurai 329728",32,81,21
9,446,17,Pav Bhaji,2024-07-13 11:39:20,2024-07-13 13:30:00,Successful,949,3,"31/753, Chaudhry Ganj Bilaspur-465234",220,111,22
10,191,243,Dal Makhani,2024-04-25 05:37:24,2024-04-25 07:33:00,Successful,956,1,H.No. 25 Raju Nagar Pali-251696,442,116,27
11,127,156,Tandoori Chicken,2024-06-28 12:58:25,2024-06-28 13:24:00,Successful,831,3,"H.No. 351, Chaudhari Chowk, Rourkela 016244",241,26,37
12,474,111,Biryani,2024-06-18 01:59:06,2024-06-18 03:13:00,Successful,390,1,64/93 Shukla Path Thiruvananthapuram 078880,145,74,32
13,311,229,Tandoori Chicken,2024-05-02 21:52:30,2024-05-02 23:06:00,Successful,520,1,"29, Mall Marg, Hazaribagh 882195",185,74,39
14,8,144,Paneer Tikka,2024-03-01 04:14:54,2024-03-01 06:12:00,Successful,421,1,"36/926, Ram Circle, Katihar-465154",499,118,28
15,220,148,Samosa,2024-02-07 22:28:39,2024-02-07 23:54:00,Successful,791,1,H.No. 902 Barad Street Jabalpur-186999,191,86,32
16,273,75,Tandoori Chicken,2024-08-11 08:29:24,2024-08-11 09:17:00,Successful,282,5,"H.No. 07, Kurian Path Tirunelveli-824907",486,48,23
17,279,176,Dosa,2024-01-17 22:33:20,2024-01-17 23:21:00,Successful,185,2,"338, Bora Street, Ulhasnagar 824623",336,48,23
18,356,20,Biryani,2024-08-14 20:18:40,2024-08-14 22:08:00,Successful,475,5,H.No. 28 Rana Marg Vasai-Virar 938633,265,110,39
19,191,263,Pav Bhaji,2024-09-06 21:50:32,2024-09-06 23:32:00,Successful,782,4,"71, Rama, Malda 555414",264,102,22
20,218,259,Biryani,2024-04-06 01:42:23,2024-04-06 02:36:00,Successful,183,5,"985, Kaul Street Aurangabad 131205",37,54,40
21,360,174,Tandoori Chicken,2024-04-06 17:01:34,2024-04-06 18:06:00,Successful,442,3,H.No. 965 Rout Zila Nizamabad 435469,227,65,26
22,373,105,Dal Makhani,2024-07-02 00:36:21,2024-07-02 01:47:00,Successful,909,3,"91 Tata, Baranagar-192918",179,71,27
23,400,262,Paneer Tikka,2024-06-30 22:13:58,2024-06-30 23:32:00,Successful,801,3,"35/040 Deo Marg, Mango 215119",311,79,21
24,120,265,Tandoori Chicken,2024-09-16 01:36:40,2024-09-16 02:06:00,Successful,820,5,"H.No. 963, Ahluwalia Road Bijapur-121810",222,30,33
25,402,118,Samosa,2024-03-16 14:24:29,2024-03-16 15:07:00,Successful,619,1,"95 Dubey Ganj, Morbi 196786",373,43,28
26,437,263,Dosa,2024-04-17 00:51:50,2024-04-17 02:41:00,Cancelled,555,5,"77 Apte Street, Siwan-659993",31,110,40
27,174,162,Samosa,2024-04-04 23:44:08,2024-04-05 01:21:00,Successful,295,5,"29, Dixit Nagar Rajahmundry 222982",116,97,21
28,53,266,Butter Chicken,2024-06-25 07:03:22,2024-06-25 07:43:00,Successful,879,3,"139, Gala Ganj Hazaribagh 443466",253,40,27
29,359,33,Samosa,2024-01-30 13:40:08,2024-01-30 14:21:00,Successful,415,3,"H.No. 907, Chandran Path, Tezpur 154668",182,41,33
30,262,17,Samosa,2024-08-19 23:51:08,2024-08-20 00:53:00,Successful,748,3,"73 Lala Nagar, Panipat-407898",187,62,26
31,443,133,Pav Bhaji,2024-08-31 11:32:35,2024-08-31 12:23:00,Successful,928,3,27/431 Sunder Street Bhiwani 976387,480,51,35
32,197,94,Pav Bhaji,2024-05-18 01:55:45,2024-05-18 02:44:00,Successful,491,2,"64, Chhabra Street, Mira-Bhayandar 950834",493,49,24
33,188,285,Aloo Paratha,2024-04-26 18:33:42,2024-04-26 19:24:00,Successful,373,1,H.No. 356 Hari Path Kadapa-478183,493,51,27
34,405,281,Dosa,2024-07-17 15:50:17,2024-07-17 16:51:00,Successful,549,2,"04 Chawla Zila, Akola-565709",490,61,34
35,211,232,Butter Chicken,2024-08-06 09:58:35,2024-08-06 11:25:00,Successful,663,3,H.No. 374 Wason Zila Guntur-619097,430,87,40
36,294,294,Dal Makhani,2024-02-04 05:54:51,2024-02-04 07:22:00,Successful,986,4,"H.No. 121, Yadav Path Raurkela Industrial Township-568889",104,88,38
37,11,231,Dal Makhani,2024-09-01 03:34:58,2024-09-01 04:26:00,Successful,190,3,H.No. 76 Gade Nagar Sambalpur-911497,480,52,33
38,95,234,Chole Bhature,2024-02-29 17:57:49,2024-02-29 19:42:00,Successful,118,4,22 Khare Rajkot-868342,231,105,22
39,429,141,Biryani,2024-04-08 11:23:52,2024-04-08 12:19:00,Successful,916,3,"495, Dhingra Street Junagadh 975485",471,56,30
40,67,35,Paneer Tikka,2024-02-29 13:14:09,2024-02-29 14:25:00,Successful,201,1,"81/50, Babu, Tadepalligudem-444929",186,71,27
41,95,260,Butter Chicken,2024-01-18 13:08:06,2024-01-18 14:42:00,Successful,244,3,"28, Kapadia Circle, Nashik-310643",146,94,36
42,279,112,Tandoori Chicken,2024-04-06 17:11:08,2024-04-06 18:52:00,Successful,350,4,H.No. 89 Dube Circle Sikar 145398,70,101,26
43,85,143,Dal Makhani,2024-06-19 21:46:33,2024-06-19 22:44:00,Successful,176,2,"06, Seshadri Road Kolkata 886368",134,58,29
44,373,278,Tandoori Chicken,2024-08-15 13:04:52,2024-08-15 14:43:00,Successful,703,5,"725, Talwar Path, Jamalpur 040185",172,99,33
45,403,117,Chole Bhature,2024-05-17 17:57:09,2024-05-17 18:30:00,Successful,326,2,"378, Kadakia Marg Madhyamgram-439100",3,33,20
46,362,54,Biryani,2024-02-10 21:07:33,2024-02-10 21:41:00,Successful,994,2,"861 Ganguly Path, Davanagere-015777",473,34,30
47,289,285,Paneer Tikka,2024-07-02 18:25:39,2024-07-02 19:54:00,Successful,364,1,"92/450, Lala, Mangalore 949504",130,89,35
48,384,20,Pav Bhaji,2024-06-01 00:49:03,2024-06-01 01:20:00,Successful,726,3,"83, Vig Street Lucknow 458174",44,31,31
49,416,250,Aloo Paratha,2024-08-18 23:42:02,2024-08-19 00:07:00,Successful,761,5,"74 Kari Road, Amravati-362444",145,25,23
50,447,197,Aloo Paratha,2024-07-18 02:34:23,2024-07-18 04:22:00,Successful,145,2,"H.No. 27, Dixit Zila, Deoghar 045770",499,108,23
51,270,27,Dal Makhani,2024-08-01 18:17:54,2024-08-01 20:04:00,Successful,482,2,H.No. 31 Goel Nagar Thrissur-809681,39,107,35
52,129,156,Paneer Tikka,2024-08-01 07:55:58,2024-08-01 09:07:00,Successful,644,1,"H.No. 006 Dhawan Circle, Vasai-Virar-603520",472,72,30
53,210,21,Samosa,2024-03-09 22:02:51,2024-03-09 23:12:00,Successful,786,1,"97/18 Sahni Nagar, Saharanpur 676791",380,70,24
54,332,90,Paneer Tikka,2024-02-23 06:31:13,2024-02-23 07:19:00,Successful,445,4,"39 Dave, Gudivada-125789",393,48,22
55,462,178,Butter Chicken,2024-01-15 08:08:13,2024-01-15 08:51:00,Successful,859,4,"H.No. 15, Sangha Path Tumkur-846599",429,43,39
56,319,58,Chole Bhature,2024-08-20 12:16:51,2024-08-20 13:37:00,Successful,423,1,"H.No. 98, Barman, Jodhpur-528537",114,81,23
57,76,300,Paneer Tikka,2024-05-18 13:03:35,2024-05-18 13:35:00,Successful,131,3,95 Trivedi Chowk Haldia-460864,62,32,24
58,394,220,Samosa,2024-01-26 02:11:10,2024-01-26 03:43:00,Successful,171,1,"49, Mand Marg, Agra-877766",44,92,39
